incident_id,device_id,category,severity,opened_at,summary
INC-00001,LAPTOP-0001,Memory Pressure,Medium,2026-07-23T13:00:00Z,LAPTOP-0001 reported memory pressure with DEX 59.
INC-00002,LAPTOP-0001,VPN Disconnect,Medium,2026-07-15T14:00:00Z,LAPTOP-0001 reported vpn disconnect with DEX 59.
INC-00003,LAPTOP-0001,OneDrive Sync,Medium,2026-07-17T00:00:00Z,LAPTOP-0001 reported onedrive sync with DEX 59.
INC-00004,LAPTOP-0001,Wi-Fi Instability,High,2026-07-09T22:00:00Z,LAPTOP-0001 reported wi-fi instability with DEX 59.
INC-00005,LAPTOP-0002,OneDrive Sync,Medium,2026-07-05T02:00:00Z,LAPTOP-0002 reported onedrive sync with DEX 54.
INC-00006,LAPTOP-0004,Compliance Drift,High,2026-07-02T14:00:00Z,LAPTOP-0004 reported compliance drift with DEX 50.
INC-00007,LAPTOP-0004,CPU Saturation,Medium,2026-07-21T16:00:00Z,LAPTOP-0004 reported cpu saturation with DEX 50.
INC-00008,LAPTOP-0004,Teams Crash,Critical,2026-07-09T13:00:00Z,LAPTOP-0004 reported teams crash with DEX 50.
INC-00009,LAPTOP-0004,Disk Full,Low,2026-07-10T03:00:00Z,LAPTOP-0004 reported disk full with DEX 50.
INC-00010,LAPTOP-0005,Teams Crash,High,2026-07-19T00:00:00Z,LAPTOP-0005 reported teams crash with DEX 91.
INC-00011,LAPTOP-0005,Disk Full,High,2026-07-16T09:00:00Z,LAPTOP-0005 reported disk full with DEX 91.
INC-00012,LAPTOP-0005,Compliance Drift,Low,2026-07-06T02:00:00Z,LAPTOP-0005 reported compliance drift with DEX 91.
INC-00013,LAPTOP-0005,CPU Saturation,High,2026-07-11T13:00:00Z,LAPTOP-0005 reported cpu saturation with DEX 91.
INC-00014,LAPTOP-0005,Teams Crash,High,2026-07-26T15:00:00Z,LAPTOP-0005 reported teams crash with DEX 91.
INC-00015,LAPTOP-0005,Disk Full,High,2026-07-10T05:00:00Z,LAPTOP-0005 reported disk full with DEX 91.
INC-00016,LAPTOP-0005,Compliance Drift,Low,2026-07-08T13:00:00Z,LAPTOP-0005 reported compliance drift with DEX 91.
INC-00017,LAPTOP-0006,Memory Pressure,Low,2026-07-06T04:00:00Z,LAPTOP-0006 reported memory pressure with DEX 66.
INC-00018,LAPTOP-0006,VPN Disconnect,High,2026-07-03T11:00:00Z,LAPTOP-0006 reported vpn disconnect with DEX 66.
INC-00019,LAPTOP-0006,OneDrive Sync,High,2026-07-06T12:00:00Z,LAPTOP-0006 reported onedrive sync with DEX 66.
INC-00020,LAPTOP-0006,Wi-Fi Instability,Medium,2026-07-13T09:00:00Z,LAPTOP-0006 reported wi-fi instability with DEX 66.
INC-00021,LAPTOP-0006,Memory Pressure,Medium,2026-07-24T06:00:00Z,LAPTOP-0006 reported memory pressure with DEX 66.
INC-00022,LAPTOP-0007,Compliance Drift,Medium,2026-07-18T22:00:00Z,LAPTOP-0007 reported compliance drift with DEX 49.
INC-00023,LAPTOP-0007,CPU Saturation,Low,2026-07-11T12:00:00Z,LAPTOP-0007 reported cpu saturation with DEX 49.
INC-00024,LAPTOP-0007,Teams Crash,Medium,2026-07-24T21:00:00Z,LAPTOP-0007 reported teams crash with DEX 49.
INC-00025,LAPTOP-0008,Memory Pressure,Medium,2026-07-01T03:00:00Z,LAPTOP-0008 reported memory pressure with DEX 41.
INC-00026,LAPTOP-0008,VPN Disconnect,High,2026-07-18T06:00:00Z,LAPTOP-0008 reported vpn disconnect with DEX 41.
INC-00027,LAPTOP-0008,OneDrive Sync,High,2026-07-17T17:00:00Z,LAPTOP-0008 reported onedrive sync with DEX 41.
INC-00028,LAPTOP-0008,Wi-Fi Instability,Low,2026-07-24T21:00:00Z,LAPTOP-0008 reported wi-fi instability with DEX 41.
INC-00029,LAPTOP-0008,Memory Pressure,Low,2026-07-05T20:00:00Z,LAPTOP-0008 reported memory pressure with DEX 41.
INC-00030,LAPTOP-0008,VPN Disconnect,High,2026-07-27T13:00:00Z,LAPTOP-0008 reported vpn disconnect with DEX 41.
INC-00031,LAPTOP-0009,Wi-Fi Instability,Medium,2026-07-25T09:00:00Z,LAPTOP-0009 reported wi-fi instability with DEX 64.
INC-00032,LAPTOP-0009,Memory Pressure,Low,2026-07-17T13:00:00Z,LAPTOP-0009 reported memory pressure with DEX 64.
INC-00033,LAPTOP-0009,VPN Disconnect,Low,2026-07-22T05:00:00Z,LAPTOP-0009 reported vpn disconnect with DEX 64.
INC-00034,LAPTOP-0009,OneDrive Sync,Low,2026-07-21T02:00:00Z,LAPTOP-0009 reported onedrive sync with DEX 64.
INC-00035,LAPTOP-0009,Wi-Fi Instability,High,2026-07-18T09:00:00Z,LAPTOP-0009 reported wi-fi instability with DEX 64.
