device_id,device_name,user,region,os_version,device_type,cpu_percent,memory_percent,disk_percent,disk_free_gb,battery_health,boot_time_seconds,teams_crashes_24h,outlook_crashes_24h,onedrive_sync_errors,vpn_disconnects_24h,wifi_signal,network_latency_ms,packet_loss_percent,compliance_status,patch_age_days,antivirus_status,encryption_status,last_restart,incident_count_30d,dex_score,risk_score
LAPTOP-0001,LAPTOP-0001,user.0001,NA-West,Windows 11 22H2,Desktop,15,78,74,22.5,74,72,5,2,7,4,-50,120,2.25,Compliant,18,Current,Enabled,2026-08-03T18:00:00Z,4,59,45
LAPTOP-0002,LAPTOP-0002,user.0002,EMEA,Windows 10 22H2,VDI,47,53,45,182.4,67,83,0,3,7,2,-82,213,4.47,Compliant,106,Current,Disabled,2026-08-02T12:00:00Z,1,54,41
LAPTOP-0003,LAPTOP-0003,user.0003,APAC,Windows 11 23H2,Laptop,73,71,92,82.8,88,27,2,3,1,2,-80,155,1.13,Compliant,67,Current,Enabled,2026-08-05T16:00:00Z,0,39,58
LAPTOP-0004,LAPTOP-0004,user.0004,LATAM,Windows 11 22H2,Desktop,35,77,86,64.9,65,88,3,0,8,1,-49,16,3.93,Compliant,66,Current,Enabled,2026-08-05T11:00:00Z,4,50,50
LAPTOP-0005,LAPTOP-0005,user.0005,NA-East,Windows 10 22H2,VDI,11,30,46,125.2,60,27,4,2,6,3,-61,33,1.52,Non-Compliant,78,Current,Enabled,2026-08-02T09:00:00Z,7,91,13
LAPTOP-0006,LAPTOP-0006,user.0006,NA-West,Windows 11 23H2,Laptop,83,22,45,66.0,74,86,0,2,5,4,-41,151,2.03,Compliant,45,Outdated,Enabled,2026-08-02T17:00:00Z,5,66,36
LAPTOP-0007,LAPTOP-0007,user.0007,EMEA,Windows 11 22H2,Desktop,69,54,78,153.8,62,69,2,0,3,1,-72,155,1.81,Non-Compliant,88,Outdated,Enabled,2026-08-03T20:00:00Z,3,49,53
LAPTOP-0008,LAPTOP-0008,user.0008,APAC,Windows 10 22H2,VDI,69,54,48,158.3,90,64,4,1,0,0,-65,200,2.28,Compliant,101,Current,Enabled,2026-08-03T10:00:00Z,6,41,57
LAPTOP-0009,LAPTOP-0009,user.0009,LATAM,Windows 11 23H2,Laptop,9,76,63,129.3,87,29,3,2,0,4,-67,176,2.47,Compliant,6,Current,Enabled,2026-08-02T13:00:00Z,6,64,36
LAPTOP-0010,LAPTOP-0010,user.0010,NA-East,Windows 11 22H2,Desktop,23,42,92,130.8,68,22,0,3,4,2,-64,175,0.41,Compliant,94,Current,Enabled,2026-08-04T12:00:00Z,3,60,33
LAPTOP-0011,LAPTOP-0011,user.0011,NA-West,Windows 10 22H2,VDI,79,40,94,6.7,69,56,4,0,8,3,-79,76,0.54,Compliant,78,Current,Enabled,2026-08-06T16:00:00Z,7,43,53
LAPTOP-0012,LAPTOP-0012,user.0012,EMEA,Windows 11 23H2,Laptop,75,44,37,10.2,61,75,3,1,3,4,-65,180,1.59,Compliant,89,Current,Enabled,2026-08-03T22:00:00Z,7,54,40
LAPTOP-0013,LAPTOP-0013,user.0013,APAC,Windows 11 22H2,Desktop,23,32,66,196.4,57,29,4,3,8,1,-45,38,1.58,Compliant,73,Current,Enabled,2026-08-07T02:00:00Z,5,74,19
LAPTOP-0014,LAPTOP-0014,user.0014,LATAM,Windows 10 22H2,VDI,73,48,47,28.8,58,103,5,0,7,1,-69,137,4.37,Compliant,39,Current,Enabled,2026-08-03T11:00:00Z,4,56,37
LAPTOP-0015,LAPTOP-0015,user.0015,NA-East,Windows 11 23H2,Laptop,46,30,93,149.7,55,116,0,1,5,5,-54,172,1.0,Compliant,81,Current,Enabled,2026-08-06T03:00:00Z,3,47,53
LAPTOP-0016,LAPTOP-0016,user.0016,NA-West,Windows 11 22H2,Desktop,18,62,93,108.5,77,86,1,3,5,1,-42,204,0.12,Compliant,21,Outdated,Enabled,2026-08-05T17:00:00Z,3,62,36
LAPTOP-0017,LAPTOP-0017,user.0017,EMEA,Windows 10 22H2,VDI,8,92,41,103.9,81,83,4,3,0,3,-81,74,3.98,Compliant,116,Current,Enabled,2026-08-07T19:00:00Z,6,71,27
LAPTOP-0018,LAPTOP-0018,user.0018,APAC,Windows 11 23H2,Laptop,61,41,58,191.1,67,65,3,0,2,1,-41,167,4.08,Non-Compliant,123,Current,Enabled,2026-08-01T04:00:00Z,6,63,36
LAPTOP-0019,LAPTOP-0019,user.0019,LATAM,Windows 11 22H2,Desktop,36,43,92,64.1,61,77,0,1,1,3,-85,160,0.87,Non-Compliant,8,Current,Enabled,2026-08-06T09:00:00Z,6,55,47
LAPTOP-0020,LAPTOP-0020,user.0020,NA-East,Windows 10 22H2,VDI,35,93,64,11.5,77,38,5,0,2,1,-57,132,2.08,Non-Compliant,1,Current,Enabled,2026-08-03T02:00:00Z,6,48,48
LAPTOP-0021,LAPTOP-0021,user.0021,NA-West,Windows 11 23H2,Laptop,17,23,57,198.8,96,43,5,1,8,3,-50,143,3.89,Non-Compliant,90,Current,Enabled,2026-08-07T19:00:00Z,6,95,9
LAPTOP-0022,LAPTOP-0022,user.0022,EMEA,Windows 11 22H2,Desktop,48,78,56,32.5,74,67,0,1,6,1,-70,90,1.83,Compliant,61,Current,Enabled,2026-08-03T18:00:00Z,7,53,48
LAPTOP-0023,LAPTOP-0023,user.0023,APAC,Windows 10 22H2,VDI,67,88,88,187.0,76,68,3,0,8,3,-62,172,1.44,Compliant,88,Current,Enabled,2026-08-04T19:00:00Z,7,30,72
LAPTOP-0024,LAPTOP-0024,user.0024,LATAM,Windows 11 23H2,Laptop,19,91,71,20.4,78,113,4,0,9,5,-78,179,2.97,Compliant,139,Current,Enabled,2026-08-06T16:00:00Z,4,60,49
